# r[m]	M[Msun]	rho[g/cm^3]	P[N/m^2]	n_e[pm^-3]	n_p[pm^-3]	muF_e[MeV]	B
8.026000000000000000e+05	1.299241386326987380e+00	1.410846172705825567e+08	3.373293098900401045e+24	4.184112650830909530e+01	5.328565028079417232e+00	1.669317986532656395e+00	9.949701332216562832e-01
8.027000000000000000e+05	1.299298788488014722e+00	1.409684103710028827e+08	3.369497970340388625e+24	4.180663219770988093e+01	5.324176747428110090e+00	1.668752828819715761e+00	9.949707288949839468e-01
8.028000000000000000e+05	1.299356157658710265e+00	1.408522880264084637e+08	3.365706747162587629e+24	4.177216301166586021e+01	5.319791659230204139e+00	1.668187616759842173e+00	9.949713244462013995e-01
8.029000000000000000e+05	1.299413493851711010e+00	1.407362501806697845e+08	3.361919425634163059e+24	4.173771893348138207e+01	5.315409761366925778e+00	1.667622350329296621e+00	9.949719198753356197e-01
8.030000000000000000e+05	1.299470797079651962e+00	1.406202967776960433e+08	3.358136002025641266e+24	4.170329994647132565e+01	5.311031051720841667e+00	1.667057029504325216e+00	9.949725151824140301e-01
8.031000000000000000e+05	1.299528067355166350e+00	1.405044277614253163e+08	3.354356472610909416e+24	4.166890603396007720e+01	5.306655528175720171e+00	1.666491654261144983e+00	9.949731103674634980e-01
8.032000000000000000e+05	1.299585304690886733e+00	1.403886430758346319e+08	3.350580833667209576e+24	4.163453717928305764e+01	5.302283188616725873e+00	1.665926224575966508e+00	9.949737054305113348e-01
8.033000000000000000e+05	1.299642509099442567e+00	1.402729426649354398e+08	3.346809081475139262e+24	4.160019336578637450e+01	5.297914030930382268e+00	1.665360740424989716e+00	9.949743003715848522e-01
8.034000000000000000e+05	1.299699680593463746e+00	1.401573264727736115e+08	3.343041212318646597e+24	4.156587457682597631e+01	5.293548053004456300e+00	1.664795201784389445e+00	9.949748951907109173e-01
8.035000000000000000e+05	1.299756819185577061e+00	1.400417944434282780e+08	3.339277222485029244e+24	4.153158079576795814e+01	5.289185252728004549e+00	1.664229608630321433e+00	9.949754898879168419e-01
8.036000000000000000e+05	1.299813924888408412e+00	1.399263465210156143e+08	3.335517108264928497e+24	4.149731200598927927e+01	5.284825627991461161e+00	1.663663960938933206e+00	9.949760844632298262e-01
8.037000000000000000e+05	1.299870997714581922e+00	1.398109826496858895e+08	3.331760865952329818e+24	4.146306819087705975e+01	5.280469176686548138e+00	1.663098258686353192e+00	9.949766789166770709e-01
8.038000000000000000e+05	1.299928037676720161e+00	1.396957027736226916e+08	3.328008491844557473e+24	4.142884933382864432e+01	5.276115896706272679e+00	1.662532501848690947e+00	9.949772732482855542e-01
8.039000000000000000e+05	1.299985044787444810e+00	1.395805068370466232e+08	3.324259982242272913e+24	4.139465541825226325e+01	5.271765785945038196e+00	1.661966690402049807e+00	9.949778674580824767e-01
8.040000000000000000e+05	1.300042019059374887e+00	1.394653947842105925e+08	3.320515333449472633e+24	4.136048642756546201e+01	5.267418842298416060e+00	1.661400824322499137e+00	9.949784615460951498e-01
8.041000000000000000e+05	1.300098960505128742e+00	1.393503665594047606e+08	3.316774541773482802e+24	4.132634234519691319e+01	5.263075063663396058e+00	1.660834903586106748e+00	9.949790555123505520e-01
8.042000000000000000e+05	1.300155869137322728e+00	1.392354221069517434e+08	3.313037603524959262e+24	4.129222315458576986e+01	5.258734447938292256e+00	1.660268928168924907e+00	9.949796493568758837e-01
8.043000000000000000e+05	1.300212744968571643e+00	1.391205613712102771e+08	3.309304515017882697e+24	4.125812883918063534e+01	5.254396993022615092e+00	1.659702898046977237e+00	9.949802430796984565e-01
8.044000000000000000e+05	1.300269588011489175e+00	1.390057842965718508e+08	3.305575272569558094e+24	4.122405938244099133e+01	5.250062696817256125e+00	1.659136813196278259e+00	9.949808366808451376e-01
8.045000000000000000e+05	1.300326398278686790e+00	1.388910908274642229e+08	3.301849872500608303e+24	4.119001476783659399e+01	5.245731557224414310e+00	1.658570673592828282e+00	9.949814301603433497e-01
8.046000000000000000e+05	1.300383175782774625e+00	1.387764809083503187e+08	3.298128311134974038e+24	4.115599497884766578e+01	5.241403572147606660e+00	1.658004479212612958e+00	9.949820235182200712e-01
8.047000000000000000e+05	1.300439920536361704e+00	1.386619544837254882e+08	3.294410584799911189e+24	4.112199999896392910e+01	5.237078739491557222e+00	1.657438230031587745e+00	9.949826167545025024e-01
8.048000000000000000e+05	1.300496632552055054e+00	1.385475114981209338e+08	3.290696689825985992e+24	4.108802981168675927e+01	5.232757057162460868e+00	1.656871926025714981e+00	9.949832098692178439e-01
8.049000000000000000e+05	1.300553311842459703e+00	1.384331518961027563e+08	3.286986622547073956e+24	4.105408440052631391e+01	5.228438523067646670e+00	1.656305567170917259e+00	9.949838028623931852e-01
8.050000000000000000e+05	1.300609958420180456e+00	1.383188756222685874e+08	3.283280379300357178e+24	4.102016374900384932e+01	5.224123135115825711e+00	1.655739153443112288e+00	9.949843957340557266e-01
8.051000000000000000e+05	1.300666572297818568e+00	1.382046826212561429e+08	3.279577956426320047e+24	4.098626784065093176e+01	5.219810891217024462e+00	1.655172684818203344e+00	9.949849884842325576e-01
8.052000000000000000e+05	1.300723153487975514e+00	1.380905728377324045e+08	3.275879350268746025e+24	4.095239665900911064e+01	5.215501789282540379e+00	1.654606161272073050e+00	9.949855811129507677e-01
8.053000000000000000e+05	1.300779702003250105e+00	1.379765462164009809e+08	3.272184557174717646e+24	4.091855018763018137e+01	5.211195827224965882e+00	1.654039582780586715e+00	9.949861736202376683e-01
8.054000000000000000e+05	1.300836217856240040e+00	1.378626027019997835e+08	3.268493573494611682e+24	4.088472841007654779e+01	5.206893002958235428e+00	1.653472949319598984e+00	9.949867660061202379e-01
8.055000000000000000e+05	1.300892701059541690e+00	1.377487422393015921e+08	3.264806395582096999e+24	4.085093130992040500e+01	5.202593314397529589e+00	1.652906260864942078e+00	9.949873582706257880e-01
8.056000000000000000e+05	1.300949151625749423e+00	1.376349647731112838e+08	3.261123019794130798e+24	4.081715887074435756e+01	5.198296759459342553e+00	1.652339517392432455e+00	9.949879504137812969e-01
8.057000000000000000e+05	1.301005569567455833e+00	1.375212702482702732e+08	3.257443442490957000e+24	4.078341107614117789e+01	5.194003336061458143e+00	1.651772718877871027e+00	9.949885424356140762e-01
8.058000000000000000e+05	1.301061954897252182e+00	1.374076586096552908e+08	3.253767660036102497e+24	4.074968790971419708e+01	5.189713042123003106e+00	1.651205865297046937e+00	9.949891343361511042e-01
8.059000000000000000e+05	1.301118307627728399e+00	1.372941298021745384e+08	3.250095668796375532e+24	4.071598935507672934e+01	5.185425875564366294e+00	1.650638956625729126e+00	9.949897261154195816e-01
8.060000000000000000e+05	1.301174627771471970e+00	1.371806837707721293e+08	3.246427465141861409e+24	4.068231539585212886e+01	5.181141834307211091e+00	1.650071992839666990e+00	9.949903177734467086e-01
8.061000000000000000e+05	1.301230915341069716e+00	1.370673204604264200e+08	3.242763045445920346e+24	4.064866601567410953e+01	5.176860916274508284e+00	1.649504973914595940e+00	9.949909093102595747e-01
8.062000000000000000e+05	1.301287170349106459e+00	1.369540398161499500e+08	3.239102406085185861e+24	4.061504119818675207e+01	5.172583119390553819e+00	1.648937899826237841e+00	9.949915007258852695e-01
8.063000000000000000e+05	1.301343392808165245e+00	1.368408417829888165e+08	3.235445543439559943e+24	4.058144092704399952e+01	5.168308441580878210e+00	1.648370770550292352e+00	9.949920920203509933e-01
8.064000000000000000e+05	1.301399582730828008e+00	1.367277263060244620e+08	3.231792453892212515e+24	4.054786518591042466e+01	5.164036880772368221e+00	1.647803586062449810e+00	9.949926831936838356e-01
8.065000000000000000e+05	1.301455740129674910e+00	1.366146933303713202e+08	3.228143133829575526e+24	4.051431395846013572e+01	5.159768434893126532e+00	1.647236346338374124e+00	9.949932742459109969e-01
8.066000000000000000e+05	1.301511865017284331e+00	1.365017428011790812e+08	3.224497579641343490e+24	4.048078722837819043e+01	5.155503101872630722e+00	1.646669051353724100e+00	9.949938651770594555e-01
8.067000000000000000e+05	1.301567957406233100e+00	1.363888746636309922e+08	3.220855787720468656e+24	4.044728497935916778e+01	5.151240879641568959e+00	1.646101701084131674e+00	9.949944559871566341e-01
8.068000000000000000e+05	1.301624017309096049e+00	1.362760888629449606e+08	3.217217754463159391e+24	4.041380719510839015e+01	5.146981766131997205e+00	1.645534295505222566e+00	9.949950466762293999e-01
