# M/Msun	Teff_K	Tcore_K
# 
3.00000e-01	6.61419e+03	7.89994e+06
3.00000e-01	6.66736e+03	8.01499e+06
3.00000e-01	6.72175e+03	8.13317e+06
3.00000e-01	6.77741e+03	8.25477e+06
3.00000e-01	6.83423e+03	8.37958e+06
3.00000e-01	6.89226e+03	8.50778e+06
3.00000e-01	6.95155e+03	8.63957e+06
3.00000e-01	7.01193e+03	8.77465e+06
3.00000e-01	7.07346e+03	8.91325e+06
3.00000e-01	7.13614e+03	9.05541e+06
3.00000e-01	7.19970e+03	9.20060e+06
3.00000e-01	7.26411e+03	9.34880e+06
3.00000e-01	7.32939e+03	9.50014e+06
3.00000e-01	7.39526e+03	9.65399e+06
3.00000e-01	7.46174e+03	9.81052e+06
3.00000e-01	7.52881e+03	9.96967e+06
3.00000e-01	7.59662e+03	1.01319e+07
3.00000e-01	7.66491e+03	1.02965e+07
3.00000e-01	7.73380e+03	1.04638e+07
3.00000e-01	7.80334e+03	1.06341e+07
3.00000e-01	7.87355e+03	1.08073e+07
3.00000e-01	7.94459e+03	1.09840e+07
3.00000e-01	8.01618e+03	1.11633e+07
3.00000e-01	8.08835e+03	1.13455e+07
3.00000e-01	8.16099e+03	1.15302e+07
3.00000e-01	8.23398e+03	1.17173e+07
3.00000e-01	8.30720e+03	1.19064e+07
3.00000e-01	8.38068e+03	1.20976e+07
3.00000e-01	8.45396e+03	1.22897e+07
3.00000e-01	8.52704e+03	1.24829e+07
3.00000e-01	8.59978e+03	1.26767e+07
3.00000e-01	8.67202e+03	1.28707e+07
3.00000e-01	8.74360e+03	1.30645e+07
3.00000e-01	8.81439e+03	1.32578e+07
3.00000e-01	8.88429e+03	1.34503e+07
3.00000e-01	8.95322e+03	1.36416e+07
3.00000e-01	9.02113e+03	1.38316e+07
3.00000e-01	9.08799e+03	1.40201e+07
3.00000e-01	9.15372e+03	1.42068e+07
3.00000e-01	9.21814e+03	1.43911e+07
3.00000e-01	9.28104e+03	1.45722e+07
3.00000e-01	9.34234e+03	1.47501e+07
3.00000e-01	9.40192e+03	1.49242e+07
3.00000e-01	9.46032e+03	1.50960e+07
3.00000e-01	9.51765e+03	1.52659e+07
3.00000e-01	9.57403e+03	1.54339e+07
3.00000e-01	9.63015e+03	1.56022e+07
3.00000e-01	9.68608e+03	1.57708e+07
3.00000e-01	9.74251e+03	1.59419e+07
3.00000e-01	9.79952e+03	1.61156e+07
3.00000e-01	9.85756e+03	1.62933e+07
3.00000e-01	9.91689e+03	1.64756e+07
3.00000e-01	9.97721e+03	1.66619e+07
3.00000e-01	1.00386e+04	1.68523e+07
3.00000e-01	1.01003e+04	1.70447e+07
3.00000e-01	1.01617e+04	1.72375e+07
3.00000e-01	1.02220e+04	1.74275e+07
3.00000e-01	1.02847e+04	1.76266e+07
3.00000e-01	1.03496e+04	1.78339e+07
3.00000e-01	1.04138e+04	1.80391e+07
3.00000e-01	1.04778e+04	1.82449e+07
3.00000e-01	1.05424e+04	1.84539e+07
3.00000e-01	1.06075e+04	1.86651e+07
3.00000e-01	1.06724e+04	1.88763e+07
3.00000e-01	1.07363e+04	1.90855e+07
3.00000e-01	1.08001e+04	1.92952e+07
3.00000e-01	1.08647e+04	1.95086e+07
3.00000e-01	1.09305e+04	1.97264e+07
3.00000e-01	1.09980e+04	1.99501e+07
3.00000e-01	1.10680e+04	2.01830e+07
3.00000e-01	1.11420e+04	2.04301e+07
3.00000e-01	1.12211e+04	2.06947e+07
3.00000e-01	1.13042e+04	2.09736e+07
3.00000e-01	1.13925e+04	2.12712e+07
3.00000e-01	1.14966e+04	2.16229e+07
3.00000e-01	1.16277e+04	2.20681e+07
3.00000e-01	1.17922e+04	2.26290e+07
3.00000e-01	1.19680e+04	2.32343e+07
3.00000e-01	1.21521e+04	2.38739e+07
3.00000e-01	1.23424e+04	2.45427e+07
3.00000e-01	1.25388e+04	2.52386e+07
3.00000e-01	1.27407e+04	2.59604e+07
3.00000e-01	1.29495e+04	2.67092e+07
3.00000e-01	1.31648e+04	2.74854e+07
3.00000e-01	1.33874e+04	2.82904e+07
3.00000e-01	1.36156e+04	2.91211e+07
3.00000e-01	1.38522e+04	2.99783e+07
3.00000e-01	1.40966e+04	3.08620e+07
3.00000e-01	1.43493e+04	3.17725e+07
3.00000e-01	1.46106e+04	3.27096e+07
3.00000e-01	1.48810e+04	3.36734e+07
3.00000e-01	1.51611e+04	3.46635e+07
3.00000e-01	1.54513e+04	3.56787e+07
3.00000e-01	1.57527e+04	3.67184e+07
3.00000e-01	1.60652e+04	3.77800e+07
3.00000e-01	1.63893e+04	3.88558e+07
3.00000e-01	1.67302e+04	3.99446e+07
3.00000e-01	1.70848e+04	4.10318e+07
3.00000e-01	1.74592e+04	4.21049e+07
3.00000e-01	1.78545e+04	4.31431e+07
3.00000e-01	1.82727e+04	4.41183e+07
3.00000e-01	1.87171e+04	4.49989e+07
3.00000e-01	1.91920e+04	4.57582e+07
3.00000e-01	1.96984e+04	4.63806e+07
3.00000e-01	2.02378e+04	4.68710e+07
3.00000e-01	2.08091e+04	4.72507e+07
3.00000e-01	2.14106e+04	4.75464e+07
3.00000e-01	2.20424e+04	4.77805e+07
3.00000e-01	2.27004e+04	4.79664e+07
3.00000e-01	2.33820e+04	4.81121e+07
3.00000e-01	2.40536e+04	4.82192e+07
3.00000e-01	2.46778e+04	4.82929e+07
3.00000e-01	2.55338e+04	4.83683e+07
3.00000e-01	2.68364e+04	4.84460e+07
3.00000e-01	2.92858e+04	4.85270e+07
3.00000e-01	3.66693e+04	4.86097e+07
3.50000e-01	1.47351e+03	2.01141e+05
3.50000e-01	1.51129e+03	2.11551e+05
3.50000e-01	1.55145e+03	2.22701e+05
3.50000e-01	1.59302e+03	2.34489e+05
3.50000e-01	1.63600e+03	2.46952e+05
3.50000e-01	1.68033e+03	2.60102e+05
3.50000e-01	1.72592e+03	2.73945e+05
3.50000e-01	1.77424e+03	2.88848e+05
3.50000e-01	1.82195e+03	3.04292e+05
3.50000e-01	1.87203e+03	3.20738e+05
3.50000e-01	1.92359e+03	3.38151e+05
3.50000e-01	1.97669e+03	3.56603e+05
3.50000e-01	2.03123e+03	3.76127e+05
3.50000e-01	2.08722e+03	3.96783e+05
3.50000e-01	2.14463e+03	4.18576e+05
3.50000e-01	2.20483e+03	4.41949e+05
3.50000e-01	2.26471e+03	4.66384e+05
3.50000e-01	2.32693e+03	4.92324e+05
3.50000e-01	2.39067e+03	5.19763e+05
3.50000e-01	2.45574e+03	5.48660e+05
3.50000e-01	2.52345e+03	5.79510e+05
3.50000e-01	2.59076e+03	6.11781e+05
3.50000e-01	2.65997e+03	6.45749e+05
3.50000e-01	2.73130e+03	6.81643e+05
3.50000e-01	2.80171e+03	7.18404e+05
3.50000e-01	2.87877e+03	7.58139e+05
3.50000e-01	2.95283e+03	7.99203e+05
3.50000e-01	3.03012e+03	8.43045e+05
3.50000e-01	3.10493e+03	8.88297e+05
3.50000e-01	3.18103e+03	9.35690e+05
3.50000e-01	3.25578e+03	9.84340e+05
