xWS	rho[g/cm^3]	n_e[pm^-3]	P[N/m^2]	mu_F_e[MeV]
3.73989e-01	1.14117e+16	6.80996e+07	6.79988e+32	2.48801e+02
3.82710e-01	1.06497e+16	6.80996e+07	6.79988e+32	2.48801e+02
3.91635e-01	9.93858e+15	6.80995e+07	6.79988e+32	2.48801e+02
4.00767e-01	9.27500e+15	6.80995e+07	6.79987e+32	2.48801e+02
4.10113e-01	8.65576e+15	6.80995e+07	6.79987e+32	2.48801e+02
4.19676e-01	8.07789e+15	6.80995e+07	6.79987e+32	2.48801e+02
4.29463e-01	7.53864e+15	6.80994e+07	6.79986e+32	2.48801e+02
4.39477e-01	7.03542e+15	6.80994e+07	6.79986e+32	2.48801e+02
4.49726e-01	6.56582e+15	6.80994e+07	6.79985e+32	2.48801e+02
4.60213e-01	6.12759e+15	6.80993e+07	6.79985e+32	2.48801e+02
4.70945e-01	5.71865e+15	6.80993e+07	6.79984e+32	2.48801e+02
4.81927e-01	5.33704e+15	6.80993e+07	6.79984e+32	2.48801e+02
4.93165e-01	4.98092e+15	6.80992e+07	6.79983e+32	2.48801e+02
5.04665e-01	4.64860e+15	6.80992e+07	6.79983e+32	2.48801e+02
5.16434e-01	4.33848e+15	6.80991e+07	6.79982e+32	2.48801e+02
5.28476e-01	4.05043e+15	6.89423e+07	6.91231e+32	2.49825e+02
5.40800e-01	3.78030e+15	6.89423e+07	6.91231e+32	2.49825e+02
5.53411e-01	3.52822e+15	6.89423e+07	6.91231e+32	2.49825e+02
5.66316e-01	3.29299e+15	6.89423e+07	6.91231e+32	2.49825e+02
5.79522e-01	3.07347e+15	6.89423e+07	6.91231e+32	2.49825e+02
5.93036e-01	2.86862e+15	6.89423e+07	6.91231e+32	2.49825e+02
6.06865e-01	2.67745e+15	6.89423e+07	6.91231e+32	2.49825e+02
6.21017e-01	2.49906e+15	6.89423e+07	6.91231e+32	2.49825e+02
6.35499e-01	2.33259e+15	6.89423e+07	6.91231e+32	2.49825e+02
6.50318e-01	2.17724e+15	6.89423e+07	6.91231e+32	2.49825e+02
6.65483e-01	2.03227e+15	6.89423e+07	6.91230e+32	2.49825e+02
6.81001e-01	1.89699e+15	6.89423e+07	6.91230e+32	2.49825e+02
6.96882e-01	1.77075e+15	6.89423e+07	6.91230e+32	2.49825e+02
7.13132e-01	1.65294e+15	6.89422e+07	6.91230e+32	2.49825e+02
7.29762e-01	1.54301e+15	6.89422e+07	6.91230e+32	2.49825e+02
7.46780e-01	1.44042e+15	6.89422e+07	6.91230e+32	2.49825e+02
7.64194e-01	1.34468e+15	6.89422e+07	6.91230e+32	2.49825e+02
7.82014e-01	1.25534e+15	6.89422e+07	6.91229e+32	2.49825e+02
8.00250e-01	1.17198e+15	6.89422e+07	6.91229e+32	2.49825e+02
8.18911e-01	1.09418e+15	6.89422e+07	6.91229e+32	2.49825e+02
8.38008e-01	1.02158e+15	6.89422e+07	6.91229e+32	2.49825e+02
8.57549e-01	9.53827e+14	6.89421e+07	6.91229e+32	2.49825e+02
