# r[m]	M[Msun]	rho[g/cm^3]	P[N/m^2]	n_e[pm^-3]	n_p[pm^-3]	muF_e[MeV]	B
1.338153607730632881e+06	2.593340942753265543e-01	3.892262231830106676e+07	5.705125280095272163e+23	1.149146941793632237e+01	1.938074094406033732e+00	9.581464771725499707e-01	9.982662451087858102e-01
1.338890070915955119e+06	2.596584559682422744e-01	3.889581960205018520e+07	5.699609528382777113e+23	1.148349463703296003e+01	1.936739763883031040e+00	9.578439936668233790e-01	9.982665609375157567e-01
1.339626534101277357e+06	2.599829510369121022e-01	3.886902388147477806e+07	5.694096751733436087e+23	1.147552198035815074e+01	1.935405781451462470e+00	9.575413806826370555e-01	9.982668768207694221e-01
1.340362997286599595e+06	2.603075792441425507e-01	3.884223517130235583e+07	5.688586952603746236e+23	1.146755145228956074e+01	1.934072147844527523e+00	9.572386382623868650e-01	9.982671927584003679e-01
1.341099460471921833e+06	2.606323403526500937e-01	3.881545348623549938e+07	5.683080133441777178e+23	1.145958305719737602e+01	1.932738863794192241e+00	9.569357664484602344e-01	9.982675087502623779e-01
1.341835923657244071e+06	2.609572340943627222e-01	3.878862671579204500e+07	5.677576297206985523e+23	1.145161907583006666e+01	1.931403337921748342e+00	9.566343983045192401e-01	9.982678247962090134e-01
1.342572386842566309e+06	2.612822587577607325e-01	3.876159713866653293e+07	5.672075471283362002e+23	1.144366643991580368e+01	1.930057726977845389e+00	9.563394872439854311e-01	9.982681408960937253e-01
1.343308850027888548e+06	2.616074134117337135e-01	3.873457506553168595e+07	5.666577669815574756e+23	1.143571599282351947e+01	1.928712489413638487e+00	9.560444524210642836e-01	9.982684570497702969e-01
1.344045313213210786e+06	2.619326978174787990e-01	3.870756051123983413e+07	5.661082895213166875e+23	1.142776773892562758e+01	1.927367625968541498e+00	9.557492938825252748e-01	9.982687732570919570e-01
1.344781776398533024e+06	2.622581117361162950e-01	3.868055349061702192e+07	5.655591149876951929e+23	1.141982168258688368e+01	1.926023137380673989e+00	9.554540116751358836e-01	9.982690895179124890e-01
1.345518239583855262e+06	2.625836549286901800e-01	3.865355401846238971e+07	5.650102436199025376e+23	1.141187782816409424e+01	1.924679024386801496e+00	9.551586058456486006e-01	9.982694058320851216e-01
1.346254702769177500e+06	2.629093271561687151e-01	3.862656210954825580e+07	5.644616756562766573e+23	1.140393618000623377e+01	1.923335287722355735e+00	9.548630764408073679e-01	9.982697221994635273e-01
1.346991165954499738e+06	2.632351281794448328e-01	3.859957777862015367e+07	5.639134113342850188e+23	1.139599674245448746e+01	1.921991928121447923e+00	9.545674235073480229e-01	9.982700386199010456e-01
1.347727629139821976e+06	2.635610577593368586e-01	3.857260104039756954e+07	5.633654508905252908e+23	1.138805951984237907e+01	1.920648946316883210e+00	9.542716470920027394e-01	9.982703550932511272e-01
1.348464092325144215e+06	2.638871156565891218e-01	3.854563190957222879e+07	5.628177945607258138e+23	1.138012451649533574e+01	1.919306343040090290e+00	9.539757472414840400e-01	9.982706716193670005e-01
1.349200555510466453e+06	2.642133016318721772e-01	3.851867040081024915e+07	5.622704425797467410e+23	1.137219173673117112e+01	1.917964119021208669e+00	9.536797240025033373e-01	9.982709881981022271e-01
1.349937018695788691e+06	2.645396154457837490e-01	3.849171652875012159e+07	5.617233951815805750e+23	1.136426118485980297e+01	1.916622274989024266e+00	9.533835774217587211e-01	9.982713048293099245e-01
